smiles,logS
CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-5.184
CCCCC(CC)CO,-2.11
CNc1ccccc1,-1.28
Clc1ccc2ccccc2c1,-4.14
CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,-5.24
CCCCCCCCCCCCCCCC,-8.4
N(=Nc1ccccc1)c2ccccc2,-4.45
CNC(=O)ON=C(CSC)C(C)(C)C ,-1.62
CCCCCCCCCCCCCC,-7.96
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34
c1cc2ccc3cccc4ccc(c1)c2c34,-6.176
O=C2NC(=O)C1(CCCCCC1)C(=O)N2 ,-3.168
CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C,-4.8
CNN,1.34
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl ,-8.71
Clc1cccc(c1)N(=O)=O,-2.77
CN(C)C(=S)SSC(=S)N(C)C ,-3.9
Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,-8.01
CCOc1ccccc1,-2.33
CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-5.37
Cc1cccc(C)c1C,-3.2
CC(C)C,-2.55
CCCCN(CC)C(=O)SCCC,-3.53
CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2,-4.7
CCCCCCC(=O)C,-2.05
Brc1cccc(Br)c1,-3.54
COC(=O)c1ccc(O)cc1,-1.827
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.018
ClCC(Cl)Cl,-1.48
CN(C)C(=O)N(C)C ,0.94
CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O ,-2.3
Clc1ccc(cc1Cl)c2ccccc2 ,-6.39
OC(CC(c1ccccc1)c3c(O)c2ccccc2oc3=O)c4ccc(cc4)c5ccc(Br)cc5 ,-4.445
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-7.337000000000001
COc1ccccc1Cl,-2.46
C/C=C/C=O,0.32
CCC(C)CO,-0.47
C=CCC=C,-2.09
CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O,-4.66
ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl ,-4.19
Clc1cccc(Cl)c1c2c(Cl)cccc2Cl ,-7.39
BrC(Br)(Br)Br,-3.14
CC1(C)CON(Cc2ccccc2Cl)C1=O,-2.338
O=C1CCCCC1,-0.6
CC(C)CCCO,-1.14
ClC1(C2(Cl)C3(Cl)C4(Cl)C5(Cl)C1(Cl)C3(Cl)Cl)C5(Cl)C(Cl)(Cl)C24Cl,-6.8
c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,-9.332
CCCC=O,-0.01
CCCCCCCC=C,-5.05
CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,-2.518
CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,-5.36
ClCCCl,-1.06
